true_label,pred_label,max_probability,is_correct
Good,Good,0.9999997195355598,True
Unhealthy,Unhealthy,0.9999974863707125,True
Unhealthy,Unhealthy,0.999999759103794,True
Good,Good,0.9999996176567628,True
Moderate,Moderate,0.9999714539745173,True
Satisfactory,Satisfactory,0.9999995174547901,True
Good,Good,0.999998307749121,True
Very_Unhealthy,Unhealthy,0.5342662023575298,False
Satisfactory,Satisfactory,0.9999993322200941,True
Good,Good,0.9999992416228276,True
Good,Good,0.9999993894611459,True
Unhealthy,Unhealthy,0.9999888031622044,True
Good,Good,0.9999976528700311,True
Satisfactory,Satisfactory,0.9999989195020536,True
Good,Good,0.999999420084052,True
Moderate,Moderate,0.9998091694789355,True
Unhealthy,Unhealthy,0.9999997311098675,True
Unhealthy,Unhealthy,0.9983041459632663,True
Good,Good,0.9999997798845233,True
Unhealthy,Unhealthy,0.6042126039539223,True
Satisfactory,Satisfactory,0.9999999389285816,True
Moderate,Moderate,0.9999994591940422,True
Moderate,Moderate,0.999990371679766,True
Satisfactory,Satisfactory,0.999978940706548,True
Moderate,Moderate,0.9999986830407337,True
Satisfactory,Satisfactory,0.9999995343967779,True
Good,Good,0.9999996597326531,True
Moderate,Moderate,0.9999955391616879,True
Good,Good,0.9999999573837539,True
Moderate,Moderate,0.9999940622915126,True
Moderate,Moderate,0.9995766033069612,True
Moderate,Moderate,0.9999880478914445,True
Very_Unhealthy,Very_Unhealthy,0.9999985698620835,True
Unhealthy,Unhealthy,0.9999209907894617,True
Unhealthy,Unhealthy,0.9999982795015583,True
Good,Good,0.9999995365294815,True
Good,Good,0.9999989627244118,True
Satisfactory,Satisfactory,0.9999987924876103,True
Good,Good,0.9999997841742778,True
Good,Good,0.9999995362379362,True
Unhealthy,Unhealthy,0.9999995857771801,True
Unhealthy,Unhealthy,0.999999865034348,True
Moderate,Moderate,0.9999993528643059,True
Moderate,Moderate,0.9999998374072412,True
Satisfactory,Satisfactory,0.9999986016144661,True
Unhealthy,Unhealthy,0.9918036322898031,True
Satisfactory,Satisfactory,0.999999774391445,True
Moderate,Moderate,0.999999863675553,True
Very_Unhealthy,Very_Unhealthy,0.9999993731649676,True
Unhealthy,Unhealthy,0.9999995856755006,True
Unhealthy,Unhealthy,0.9999990920200121,True
Satisfactory,Satisfactory,0.9999977734922632,True
Moderate,Moderate,0.9999945932212889,True
Moderate,Moderate,0.9999974032197108,True
Satisfactory,Satisfactory,0.9999975542784322,True
Satisfactory,Satisfactory,0.9999982923229689,True
Moderate,Moderate,0.9999998467011282,True
Moderate,Moderate,0.9998746269658325,True
Moderate,Moderate,0.9999984909367545,True
Satisfactory,Satisfactory,0.9999997776768635,True
Moderate,Moderate,0.9999983202769669,True
Good,Good,0.9999842102385047,True
Satisfactory,Satisfactory,0.9999992042958054,True
Very_Unhealthy,Very_Unhealthy,0.9999998037159775,True
Good,Good,0.9999997499531942,True
Moderate,Moderate,0.999995890802553,True
Good,Good,0.9999892340756547,True
Moderate,Moderate,0.999962206893012,True
Good,Good,0.9999994644053207,True
Good,Good,0.9999997034695813,True
Good,Good,0.9999954214429421,True
Good,Good,0.9999998539863786,True
Moderate,Moderate,0.99999890383332,True
Satisfactory,Satisfactory,0.999999888544963,True
Moderate,Moderate,0.9999988365275417,True
Unhealthy,Unhealthy,0.9999999260586107,True
Good,Good,0.9999988487723356,True
Unhealthy,Unhealthy,0.9999989333042153,True
Good,Good,0.9999998296814795,True
Good,Good,0.9999300922060275,True
Good,Good,0.9999998994700222,True
Moderate,Moderate,0.9999995823695075,True
Good,Good,0.9999986086282263,True
Unhealthy,Unhealthy,0.9999999123110382,True
Unhealthy,Unhealthy,0.9999980773589279,True
Moderate,Moderate,0.9998177533108601,True
Moderate,Moderate,0.9999992529605787,True
Satisfactory,Satisfactory,0.9999998096801783,True
Moderate,Moderate,0.9999981958468833,True
Good,Good,0.9999994333753128,True
Moderate,Moderate,0.9999985732405984,True
Good,Good,0.9999955409534163,True
Moderate,Moderate,0.9989671956937901,True
Good,Good,0.9999968017331295,True
Unhealthy,Unhealthy,0.9999991687918025,True
Very_Unhealthy,Very_Unhealthy,0.9999990969531148,True
Moderate,Moderate,0.9998927123650025,True
Satisfactory,Satisfactory,0.9998379234174919,True
Unhealthy,Unhealthy,0.9999999422797712,True
Unhealthy,Unhealthy,0.9999653955343982,True
Unhealthy,Unhealthy,0.9999999502086208,True
Moderate,Moderate,0.9998988865690104,True
Moderate,Moderate,0.9999881144332043,True
Good,Good,0.9999991293932701,True
Good,Good,0.999999601893093,True
Moderate,Moderate,0.998572532780898,True
Moderate,Moderate,0.9999993106191535,True
Moderate,Moderate,0.999975190679105,True
Good,Good,0.9999993383896554,True
Moderate,Moderate,0.9999940802307653,True
Good,Good,0.9999991694519687,True
Satisfactory,Satisfactory,0.9999855408875531,True
Moderate,Moderate,0.9999994354124623,True
Moderate,Moderate,0.9999978629559318,True
Good,Good,0.9999993648967606,True
Unhealthy,Unhealthy,0.9999994013559677,True
Unhealthy,Unhealthy,0.9999998535420614,True
Moderate,Moderate,0.9999997639442137,True
Good,Good,0.9999984143690384,True
Moderate,Moderate,0.9999958120879202,True
Good,Good,0.9999970850341772,True
Good,Good,0.9999997109244513,True
Good,Good,0.9999999612884535,True
Unhealthy,Unhealthy,0.9999999507894861,True
Good,Good,0.9999999622697574,True
Moderate,Moderate,0.9999952581889742,True
Good,Good,0.9999996114219896,True
Unhealthy,Unhealthy,0.9999999447901063,True
Good,Good,0.9999999318746478,True
Moderate,Moderate,0.9999991287563003,True
Unhealthy,Unhealthy,0.9999993902356635,True
Moderate,Moderate,0.9999980915927118,True
Moderate,Moderate,0.9999866376192286,True
Unhealthy,Unhealthy,0.9999997744743188,True
Good,Good,0.9999995278523457,True
Unhealthy,Unhealthy,0.9999977024266973,True
Moderate,Moderate,0.9999996057021878,True
Satisfactory,Satisfactory,0.9999995998950948,True
Good,Good,0.9999993818512782,True
Good,Good,0.9999990233690182,True
Moderate,Moderate,0.9999483889294867,True
Satisfactory,Satisfactory,0.9999993372503717,True
Good,Good,0.9999999535749519,True
Unhealthy,Unhealthy,0.9999998020822324,True
Good,Good,0.9999991330086468,True
Moderate,Moderate,0.999999692332486,True
Unhealthy,Unhealthy,0.999999901439277,True
Moderate,Moderate,0.9999999084872039,True
Good,Good,0.9999995523609665,True
Moderate,Moderate,0.9999997548642287,True
Satisfactory,Satisfactory,0.9999994066123967,True
Moderate,Moderate,0.9999988121539162,True
Good,Good,0.999999251424197,True
Unhealthy,Unhealthy,0.9999998920707619,True
Moderate,Moderate,0.9999819541947029,True
Moderate,Moderate,0.9998052357880006,True
Moderate,Moderate,0.9999774496958524,True
Unhealthy,Unhealthy,0.9999995504055935,True
Very_Unhealthy,Very_Unhealthy,0.9999995392914907,True
